season,lg,tm,player,position
2018.0,NBA,2nd,Giannis Antetokounmpo,F
2018.0,NBA,3rd,Jimmy Butler,F
2017.0,NBA,1st,LeBron James,F
2017.0,NBA,2nd,Giannis Antetokounmpo,F
2017.0,NBA,3rd,Draymond Green,F
2016.0,NBA,1st,LeBron James,F
2016.0,NBA,2nd,Kevin Durant,F
2016.0,NBA,3rd,Paul George,F
2015.0,NBA,1st,LeBron James,F
2015.0,NBA,2nd,Pau Gasol,C
2015.0,NBA,3rd,Blake Griffin,F
2014.0,NBA,1st,Kevin Durant,F
2014.0,NBA,2nd,Blake Griffin,F
2014.0,NBA,3rd,Paul George,F
2013.0,NBA,1st,Kevin Durant,F
2013.0,NBA,2nd,Carmelo Anthony,F
2013.0,NBA,3rd,Paul George,F
2012.0,NBA,1st,Kevin Durant,F
2012.0,NBA,2nd,Blake Griffin,F
2012.0,NBA,3rd,Carmelo Anthony,F
2011.0,NBA,1st,Kevin Durant,F
2011.0,NBA,2nd,Pau Gasol,F
2011.0,NBA,3rd,LaMarcus Aldridge,F
2010.0,NBA,1st,Kevin Durant,F
2010.0,NBA,2nd,Carmelo Anthony,F
2010.0,NBA,3rd,Tim Duncan,F
2009.0,NBA,1st,LeBron James,F
2009.0,NBA,2nd,Tim Duncan,F
2009.0,NBA,3rd,Carmelo Anthony,F
2008.0,NBA,1st,Kevin Garnett,F
2008.0,NBA,2nd,Tim Duncan,F
2008.0,NBA,3rd,Carlos Boozer,F
2007.0,NBA,1st,Tim Duncan,F
2007.0,NBA,2nd,Chris Bosh,F
2007.0,NBA,3rd,Carmelo Anthony,F
2006.0,NBA,1st,LeBron James,F
2006.0,NBA,2nd,Elton Brand,F
2006.0,NBA,3rd,Carmelo Anthony,F
2005.0,NBA,1st,Tim Duncan,F
2005.0,NBA,2nd,Kevin Garnett,F
2005.0,NBA,3rd,Shawn Marion,F
2004.0,NBA,1st,Tim Duncan,F
2004.0,NBA,2nd,Jermaine O'Neal,F
2004.0,NBA,3rd,Metta World Peace,F
2003.0,NBA,1st,Tim Duncan,F
2003.0,NBA,2nd,Dirk Nowitzki,F
2003.0,NBA,3rd,Jamal Mashburn,F
2002.0,NBA,1st,Tim Duncan,F
2002.0,NBA,2nd,Kevin Garnett,F
2002.0,NBA,3rd,Jermaine O'Neal,F
2001.0,NBA,1st,Tim Duncan,F
2001.0,NBA,2nd,Vince Carter,F
2001.0,NBA,3rd,Karl Malone,F
1900.0,NBA,1st,Tim Duncan,F
1900.0,NBA,2nd,Grant Hill,F
1900.0,NBA,3rd,Vince Carter,F
1999.0,NBA,1st,Tim Duncan,F
1999.0,NBA,2nd,Grant Hill,F
1999.0,NBA,3rd,Kevin Garnett,F
1998.0,NBA,1st,Tim Duncan,F
1998.0,NBA,2nd,Vin Baker,F
1998.0,NBA,3rd,Scottie Pippen,F
1997.0,NBA,1st,Grant Hill,F
1997.0,NBA,2nd,Scottie Pippen,F
1997.0,NBA,3rd,Vin Baker,F
1996.0,NBA,1st,Karl Malone,F
1996.0,NBA,2nd,Grant Hill,F
1996.0,NBA,3rd,Charles Barkley,F
1995.0,NBA,1st,Karl Malone,F
1995.0,NBA,2nd,Charles Barkley,F
1995.0,NBA,3rd,Dennis Rodman,F
1994.0,NBA,1st,Karl Malone,F
1994.0,NBA,2nd,Charles Barkley,F
1994.0,NBA,3rd,Derrick Coleman,F
1993.0,NBA,1st,Charles Barkley,F
1993.0,NBA,2nd,Larry Johnson,F
1993.0,NBA,3rd,Derrick Coleman,F
1992.0,NBA,1st,Karl Malone,F
1992.0,NBA,2nd,Charles Barkley,F
1992.0,NBA,3rd,Dennis Rodman,F
1991.0,NBA,1st,Charles Barkley,F
1991.0,NBA,2nd,Chris Mullin,F
1991.0,NBA,3rd,Bernard King,F
1990.0,NBA,1st,Charles Barkley,F
1990.0,NBA,2nd,Larry Bird,F
