conference,losses,name,rank,srs,wins,year
East,48,Milwaukee Bucks,9,-4.3,34,1995
East,54,Detroit Pistons,12,-7.08,28,1995
West,20,San Antonio Spurs,1,5.9,62,1995
West,22,Utah Jazz,3,7.76,60,1995
West,35,Houston Rockets,6,2.32,47,1995
West,41,Denver Nuggets,8,0.96,41,1995
West,46,Dallas Mavericks,10,-2.39,36,1995
West,61,Minnesota Timberwolves,12,-8.22,21,1995
West,23,Phoenix Suns,2,3.86,59,1995
West,25,Seattle SuperSonics,4,7.91,57,1995
West,34,Los Angeles Lakers,5,-0.01,48,1995
West,38,Portland Trail Blazers,7,3.8,44,1995
West,43,Sacramento Kings,9,-0.74,39,1995
West,56,Golden State Warriors,11,-4.9,26,1995
West,65,Los Angeles Clippers,13,-8.43,17,1995
East,22,Orlando Magic,2,5.4,60,1996
East,35,New York Knicks,5,2.24,47,1996
East,40,Miami Heat,8,1.46,42,1996
East,43,Washington Bullets,10,0.99,39,1996
East,49,Boston Celtics,11,-3.37,33,1996
East,52,New Jersey Nets,12,-4.14,30,1996
East,64,Philadelphia 76ers,15,-9.45,18,1996
East,10,Chicago Bulls,1,11.8,72,1996
East,30,Indiana Pacers,3,3.11,52,1996
East,35,Cleveland Cavaliers,4,2.49,47,1996
East,36,Atlanta Hawks,6,1.29,46,1996
East,36,Detroit Pistons,7,2.45,46,1996
East,41,Charlotte Hornets,9,-0.48,41,1996
East,57,Milwaukee Bucks,13,-4.92,25,1996
East,61,Toronto Raptors,14,-7.2,21,1996
West,23,San Antonio Spurs,2,5.98,59,1996
West,27,Utah Jazz,3,6.25,55,1996
West,34,Houston Rockets,5,1.63,48,1996
West,47,Denver Nuggets,10,-2.62,35,1996
West,56,Minnesota Timberwolves,12,-5.14,26,1996
West,56,Dallas Mavericks,13,-4.71,26,1996
West,67,Vancouver Grizzlies,14,-9.55,15,1996
West,18,Seattle SuperSonics,1,7.4,64,1996
West,29,Los Angeles Lakers,4,4.21,53,1996
West,38,Portland Trail Blazers,6,2.21,44,1996
West,41,Phoenix Suns,7,0.28,41,1996
West,43,Sacramento Kings,8,-2.62,39,1996
West,46,Golden State Warriors,9,-1.42,36,1996
West,53,Los Angeles Clippers,11,-3.46,29,1996
East,21,Miami Heat,2,5.56,61,1997
East,25,New York Knicks,3,3.31,57,1997
East,37,Orlando Magic,7,-0.07,45,1997
East,38,Washington Bullets,8,1.77,44,1997
East,56,New Jersey Nets,13,-3.89,26,1997
East,60,Philadelphia 76ers,14,-5.89,22,1997
East,67,Boston Celtics,15,-6.62,15,1997
East,13,Chicago Bulls,1,10.7,69,1997
East,26,Atlanta Hawks,4,5.52,56,1997
East,28,Detroit Pistons,5,5.45,54,1997
East,28,Charlotte Hornets,6,2.13,54,1997
East,40,Cleveland Cavaliers,9,2.32,42,1997
East,43,Indiana Pacers,10,1.49,39,1997
East,49,Milwaukee Bucks,11,-1.38,33,1997
East,52,Toronto Raptors,12,-2.56,30,1997
West,18,Utah Jazz,1,7.97,64,1997
West,25,Houston Rockets,3,3.85,57,1997
West,42,Minnesota Timberwolves,6,-1.82,40,1997
West,58,Dallas Mavericks,11,-6.47,24,1997
West,61,Denver Nuggets,12,-6.4,21,1997
West,62,San Antonio Spurs,13,-7.93,20,1997
West,68,Vancouver Grizzlies,14,-10.17,14,1997
West,25,Seattle SuperSonics,2,6.91,57,1997
West,26,Los Angeles Lakers,4,3.66,56,1997
West,33,Portland Trail Blazers,5,3.56,49,1997
West,42,Phoenix Suns,7,0.21,40,1997
West,46,Los Angeles Clippers,8,-2.66,36,1997
West,48,Sacramento Kings,9,-3.64,34,1997
West,52,Golden State Warriors,10,-4.9,30,1997
East,27,Miami Heat,2,5.09,55,1998
East,39,New York Knicks,7,2.74,43,1998
East,39,New Jersey Nets,8,1.88,43,1998
East,40,Washington Wizards,9,1.11,42,1998
East,41,Orlando Magic,10,-0.53,41,1998
East,46,Boston Celtics,12,-1.96,36,1998
East,51,Philadelphia 76ers,14,-1.89,31,1998
East,20,Chicago Bulls,1,7.24,62,1998
East,24,Indiana Pacers,3,6.25,58,1998
East,31,Charlotte Hornets,4,2.45,51,1998
East,32,Atlanta Hawks,5,3.85,50,1998
East,35,Cleveland Cavaliers,6,3.06,47,1998
East,45,Detroit Pistons,11,1.95,37,1998
East,46,Milwaukee Bucks,13,-1.33,36,1998
East,66,Toronto Raptors,15,-8.33,16,1998
West,20,Utah Jazz,1,5.73,62,1998
West,26,San Antonio Spurs,5,3.3,56,1998
West,37,Minnesota Timberwolves,7,0.17,45,1998
West,41,Houston Rockets,8,-1.23,41,1998
West,62,Dallas Mavericks,10,-6.33,20,1998
West,63,Vancouver Grizzlies,11,-7.47,19,1998
West,71,Denver Nuggets,14,-11.74,11,1998
West,21,Seattle SuperSonics,2,6.33,61,1998
West,21,Los Angeles Lakers,3,6.88,61,1998
West,26,Phoenix Suns,4,4.44,56,1998
West,36,Portland Trail Blazers,6,0.83,46,1998
West,55,Sacramento Kings,9,-5.83,27,1998
West,63,Golden State Warriors,12,-9.2,19,1998
West,65,Los Angeles Clippers,13,-7.53,17,1998
East,17,Miami Heat,1,5.11,33,1999
East,17,Orlando Magic,3,3.11,33,1999
East,22,Philadelphia 76ers,6,2.56,28,1999
East,23,New York Knicks,8,1.45,27,1999
East,31,Boston Celtics,12,-1.75,19,1999
East,32,Washington Wizards,13,-1.75,18,1999
East,34,New Jersey Nets,14,-3.2,16,1999
East,17,Indiana Pacers,2,3.86,33,1999
East,19,Atlanta Hawks,4,2.82,31,1999
East,21,Detroit Pistons,5,3.97,29,1999
East,22,Milwaukee Bucks,7,1.66,28,1999
East,24,Charlotte Hornets,9,0.63,26,1999
East,27,Toronto Raptors,10,-1.32,23,1999
East,28,Cleveland Cavaliers,11,-0.94,22,1999
East,37,Chicago Bulls,15,-8.58,13,1999
West,13,San Antonio Spurs,1,7.12,37,1999
West,13,Utah Jazz,2,5.54,37,1999
West,19,Houston Rockets,5,1.39,31,1999
West,25,Minnesota Timberwolves,8,-0.17,25,1999
West,31,Dallas Mavericks,11,-2.5,19,1999
West,36,Denver Nuggets,12,-6.67,14,1999
West,42,Vancouver Grizzlies,14,-8.94,8,1999
West,15,Portland Trail Blazers,3,5.67,35,1999
West,19,Los Angeles Lakers,4,2.68,31,1999
West,23,Phoenix Suns,6,2.15,27,1999
West,23,Sacramento Kings,7,-0.89,27,1999
West,25,Seattle SuperSonics,9,-1.43,25,1999
West,29,Golden State Warriors,10,-2.63,21,1999
West,41,Los Angeles Clippers,13,-8.94,9,1999
East,30,Miami Heat,2,2.75,52,2000
East,32,New York Knicks,3,1.3,50,2000
East,33,Philadelphia 76ers,5,1.02,49,2000
East,41,Orlando Magic,9,0.43,41,2000
East,47,Boston Celtics,10,-1.0,35,2000
East,51,New Jersey Nets,12,-1.18,31,2000
East,53,Washington Wizards,13,-3.47,29,2000
East,26,Indiana Pacers,1,4.15,56,2000
East,33,Charlotte Hornets,4,2.33,49,2000
East,37,Toronto Raptors,6,-0.46,45,2000
East,40,Detroit Pistons,7,1.13,42,2000
East,40,Milwaukee Bucks,8,-0.06,42,2000
East,50,Cleveland Cavaliers,11,-3.64,32,2000
East,54,Atlanta Hawks,14,-5.41,28,2000
East,65,Chicago Bulls,15,-9.23,17,2000
West,27,Utah Jazz,2,4.52,55,2000
West,29,San Antonio Spurs,4,5.92,53,2000
West,32,Minnesota Timberwolves,6,2.67,50,2000
West,42,Dallas Mavericks,9,-0.29,40,2000
West,47,Denver Nuggets,10,-1.76,35,2000
West,48,Houston Rockets,11,-0.57,34,2000
West,60,Vancouver Grizzlies,12,-5.1,22,2000
West,15,Los Angeles Lakers,1,8.41,67,2000
West,23,Portland Trail Blazers,3,6.36,59,2000
West,29,Phoenix Suns,5,5.24,53,2000
West,37,Seattle SuperSonics,7,1.17,45,2000
West,38,Sacramento Kings,8,3.04,44,2000
West,63,Golden State Warriors,13,-7.63,19,2000
West,67,Los Angeles Clippers,14,-10.73,15,2000
East,26,Philadelphia 76ers,1,3.64,56,2001
East,32,Miami Heat,3,1.73,50,2001
East,34,New York Knicks,4,1.98,48,2001
East,39,Orlando Magic,7,0.39,43,2001
East,46,Boston Celtics,9,-2.4,36,2001
East,56,New Jersey Nets,12,-5.3,26,2001
East,63,Washington Wizards,14,-6.75,19,2001
East,30,Milwaukee Bucks,2,3.14,52,2001
East,35,Toronto Raptors,5,1.69,47,2001
East,36,Charlotte Hornets,6,1.45,46,2001
East,41,Indiana Pacers,8,-0.77,41,2001
East,50,Detroit Pistons,10,-2.08,32,2001
East,52,Cleveland Cavaliers,11,-4.48,30,2001
East,57,Atlanta Hawks,13,-5.55,25,2001
East,67,Chicago Bulls,15,-9.09,15,2001
West,24,San Antonio Spurs,1,7.92,58,2001
West,29,Utah Jazz,4,5.0,53,2001
West,29,Dallas Mavericks,5,4.61,53,2001
West,35,Minnesota Timberwolves,8,1.81,47,2001
West,37,Houston Rockets,9,2.71,45,2001
West,42,Denver Nuggets,11,-1.83,40,2001
West,59,Vancouver Grizzlies,13,-4.94,23,2001
West,26,Los Angeles Lakers,2,3.74,56,2001
West,27,Sacramento Kings,3,6.07,55,2001
West,31,Phoenix Suns,6,2.63,51,2001
West,32,Portland Trail Blazers,7,4.52,50,2001
West,38,Seattle SuperSonics,10,0.55,44,2001
West,51,Los Angeles Clippers,12,-2.23,31,2001
West,65,Golden State Warriors,14,-8.11,17,2001
East,30,New Jersey Nets,1,3.67,52,2002
East,33,Boston Celtics,3,1.75,49,2002
East,38,Orlando Magic,5,1.25,44,2002
East,39,Philadelphia 76ers,6,1.27,43,2002
East,45,Washington Wizards,10,-1.58,37,2002
East,46,Miami Heat,11,-1.84,36,2002
East,52,New York Knicks,13,-4.15,30,2002
East,32,Detroit Pistons,2,1.69,50,2002
East,38,Charlotte Hornets,4,0.57,44,2002
East,40,Toronto Raptors,7,-0.71,42,2002
East,40,Indiana Pacers,8,-0.07,42,2002
East,41,Milwaukee Bucks,9,-0.62,41,2002
East,49,Atlanta Hawks,12,-4.41,33,2002
East,53,Cleveland Cavaliers,14,-3.52,29,2002
East,61,Chicago Bulls,15,-8.52,21,2002
West,24,San Antonio Spurs,2,6.28,58,2002
West,25,Dallas Mavericks,4,4.41,57,2002
West,32,Minnesota Timberwolves,5,3.58,50,2002
West,38,Utah Jazz,8,1.21,44,2002
West,54,Houston Rockets,11,-4.31,28,2002
West,55,Denver Nuggets,12,-5.19,27,2002
West,59,Memphis Grizzlies,13,-6.74,23,2002
West,21,Sacramento Kings,1,7.61,61,2002
West,24,Los Angeles Lakers,3,7.15,58,2002
West,33,Portland Trail Blazers,6,3.21,49,2002
West,37,Seattle SuperSonics,7,3.24,45,2002
West,43,Los Angeles Clippers,9,-0.09,39,2002
West,46,Phoenix Suns,10,-0.3,36,2002
West,61,Golden State Warriors,14,-4.8,21,2002
East,33,New Jersey Nets,2,4.42,49,2003
East,34,Philadelphia 76ers,4,1.76,48,2003
East,38,Boston Celtics,6,-0.75,44,2003
East,40,Orlando Magic,8,-0.39,42,2003
East,45,Washington Wizards,9,-1.47,37,2003
East,45,New York Knicks,10,-1.61,37,2003
East,57,Miami Heat,13,-5.13,25,2003
East,32,Detroit Pistons,1,2.97,50,2003
East,34,Indiana Pacers,3,2.79,48,2003
East,35,New Orleans Hornets,5,1.52,47,2003
East,40,Milwaukee Bucks,7,-0.24,42,2003
East,47,Atlanta Hawks,11,-3.87,35,2003
East,52,Chicago Bulls,12,-5.31,30,2003
East,58,Toronto Raptors,14,-6.1,24,2003
East,65,Cleveland Cavaliers,15,-9.59,17,2003
West,22,San Antonio Spurs,1,5.65,60,2003
West,22,Dallas Mavericks,3,7.9,60,2003
West,31,Minnesota Timberwolves,4,2.46,51,2003
West,35,Utah Jazz,7,2.76,47,2003
West,39,Houston Rockets,9,1.89,43,2003
West,54,Memphis Grizzlies,12,-2.6,28,2003
West,65,Denver Nuggets,14,-7.41,17,2003
West,23,Sacramento Kings,2,6.68,59,2003
West,32,Los Angeles Lakers,5,2.71,50,2003
West,32,Portland Trail Blazers,6,2.97,50,2003
West,38,Phoenix Suns,8,1.57,44,2003
West,42,Seattle SuperSonics,10,0.37,40,2003
West,44,Golden State Warriors,11,-0.6,38,2003
West,55,Los Angeles Clippers,13,-3.45,27,2003
East,35,New Jersey Nets,2,1.88,47,2004
East,40,Miami Heat,4,-0.13,42,2004
East,43,New York Knicks,7,-1.97,39,2004
East,46,Boston Celtics,8,-1.99,36,2004
East,49,Philadelphia 76ers,11,-2.95,33,2004
East,57,Washington Wizards,13,-6.12,25,2004
East,61,Orlando Magic,15,-7.25,21,2004
East,21,Indiana Pacers,1,4.93,61,2004
East,28,Detroit Pistons,3,5.04,54,2004
East,41,New Orleans Hornets,5,-0.72,41,2004
East,41,Milwaukee Bucks,6,0.42,41,2004
East,47,Cleveland Cavaliers,9,-3.07,35,2004
East,49,Toronto Raptors,10,-3.42,33,2004
East,54,Atlanta Hawks,12,-5.0,28,2004
East,59,Chicago Bulls,14,-6.69,23,2004
West,24,Minnesota Timberwolves,1,5.86,58,2004
West,25,San Antonio Spurs,3,7.51,57,2004
West,30,Dallas Mavericks,5,4.86,52,2004
West,32,Memphis Grizzlies,6,2.95,50,2004
West,37,Houston Rockets,7,2.28,45,2004
West,39,Denver Nuggets,8,1.65,43,2004
West,40,Utah Jazz,9,-0.53,42,2004
West,26,Los Angeles Lakers,2,4.35,56,2004
West,27,Sacramento Kings,4,5.41,55,2004
West,41,Portland Trail Blazers,10,-0.58,41,2004
West,45,Golden State Warriors,11,-0.07,37,2004
West,45,Seattle SuperSonics,12,0.02,37,2004
West,53,Phoenix Suns,13,-2.94,29,2004
West,54,Los Angeles Clippers,14,-3.74,28,2004
East,37,Boston Celtics,3,0.35,45,2005
East,39,Philadelphia 76ers,7,-1.07,43,2005
East,40,New Jersey Nets,8,-1.82,42,2005
East,49,Toronto Raptors,11,-1.81,33,2005
East,49,New York Knicks,12,-2.72,33,2005
East,28,Detroit Pistons,2,3.31,54,2005
East,35,Chicago Bulls,4,0.65,47,2005
East,38,Indiana Pacers,6,0.49,44,2005
East,40,Cleveland Cavaliers,9,0.27,42,2005
East,52,Milwaukee Bucks,13,-3.09,30,2005
East,23,Miami Heat,1,5.77,59,2005
East,37,Washington Wizards,5,-0.71,45,2005
East,46,Orlando Magic,10,-2.52,36,2005
East,64,Charlotte Bobcats,14,-6.15,18,2005
East,69,Atlanta Hawks,15,-9.62,13,2005
West,30,Seattle SuperSonics,3,2.59,52,2005
West,33,Denver Nuggets,7,2.23,49,2005
West,38,Minnesota Timberwolves,9,1.73,44,2005
West,55,Portland Trail Blazers,13,-3.45,27,2005
West,56,Utah Jazz,14,-3.74,26,2005
West,20,Phoenix Suns,1,7.08,62,2005
West,32,Sacramento Kings,6,2.56,50,2005
West,45,Los Angeles Clippers,10,-0.47,37,2005
West,48,Los Angeles Lakers,11,-2.32,34,2005
West,48,Golden State Warriors,12,-1.74,34,2005
West,23,San Antonio Spurs,2,7.84,59,2005
West,24,Dallas Mavericks,4,5.86,58,2005
West,31,Houston Rockets,5,4.27,51,2005
West,37,Memphis Grizzlies,8,2.64,45,2005
West,64,New Orleans Hornets,15,-6.3,18,2005
East,33,New Jersey Nets,3,1.11,49,2006
East,44,Philadelphia 76ers,9,-2.1,38,2006
East,49,Boston Celtics,11,-1.59,33,2006
East,55,Toronto Raptors,12,-3.03,27,2006
East,59,New York Knicks,15,-6.3,23,2006
East,18,Detroit Pistons,1,6.24,64,2006
East,32,Cleveland Cavaliers,4,2.17,50,2006
East,41,Indiana Pacers,6,1.62,41,2006
East,41,Chicago Bulls,7,0.51,41,2006
East,42,Milwaukee Bucks,8,-1.07,40,2006
East,30,Miami Heat,2,3.59,52,2006
East,40,Washington Wizards,5,1.57,42,2006
East,46,Orlando Magic,10,-1.26,36,2006
East,56,Charlotte Bobcats,13,-3.9,26,2006
East,56,Atlanta Hawks,14,-4.69,26,2006
West,38,Denver Nuggets,3,0.36,44,2006
West,41,Utah Jazz,9,-2.49,41,2006
West,47,Seattle SuperSonics,11,-2.88,35,2006
West,49,Minnesota Timberwolves,14,-1.75,33,2006
West,61,Portland Trail Blazers,15,-8.91,21,2006
West,28,Phoenix Suns,2,5.48,54,2006
West,35,Los Angeles Clippers,6,1.75,47,2006
West,37,Los Angeles Lakers,7,2.53,45,2006
West,38,Sacramento Kings,8,1.61,44,2006
West,48,Golden State Warriors,13,-1.11,34,2006
West,19,San Antonio Spurs,1,6.69,63,2006
West,22,Dallas Mavericks,4,5.96,60,2006
West,33,Memphis Grizzlies,5,3.74,49,2006
West,44,New Orleans/Oklahoma City Hornets,10,-2.51,38,2006
West,48,Houston Rockets,12,-1.3,34,2006
East,35,Toronto Raptors,3,0.61,47,2007
East,41,New Jersey Nets,6,-1.0,41,2007
East,47,Philadelphia 76ers,10,-3.26,35,2007
East,49,New York Knicks,12,-3.06,33,2007
East,58,Boston Celtics,15,-3.7,24,2007
East,29,Detroit Pistons,1,3.69,53,2007
East,32,Cleveland Cavaliers,2,3.33,50,2007
