name,starter,reserve,year,year-player
kevin garnett,1.0,0.0,2003.0,2003.0kevin garnett
tim duncan,1.0,0.0,2003.0,2003.0tim duncan
kobe bryant,1.0,0.0,2003.0,2003.0kobe bryant
steve francis,1.0,0.0,2003.0,2003.0steve francis
yao ming,1.0,0.0,2003.0,2003.0yao ming
shaquille o'neal,0.0,1.0,2003.0,2003.0shaquille o'neal
shawn marion,0.0,1.0,2003.0,2003.0shawn marion
dirk nowitzki,0.0,1.0,2003.0,2003.0dirk nowitzki
steve nash,0.0,1.0,2003.0,2003.0steve nash
gary payton,0.0,1.0,2003.0,2003.0gary payton
stephon marbury,0.0,1.0,2003.0,2003.0stephon marbury
peja stojakovic,0.0,1.0,2003.0,2003.0peja stojakovic
jermaine o'neal,1.0,0.0,2004.0,2004.0jermaine o'neal
allen iverson,1.0,0.0,2004.0,2004.0allen iverson
ben wallace,1.0,0.0,2004.0,2004.0ben wallace
tracy mcgrady,1.0,0.0,2004.0,2004.0tracy mcgrady
vince carter,1.0,0.0,2004.0,2004.0vince carter
kenyon martin,0.0,1.0,2004.0,2004.0kenyon martin
jason kidd,0.0,1.0,2004.0,2004.0jason kidd
jamaal magloire,0.0,1.0,2004.0,2004.0jamaal magloire
metta world peace,0.0,1.0,2004.0,2004.0metta world peace
baron davis,0.0,1.0,2004.0,2004.0baron davis
michael redd,0.0,1.0,2004.0,2004.0michael redd
paul pierce,0.0,1.0,2004.0,2004.0paul pierce
kobe bryant,1.0,0.0,2004.0,2004.0kobe bryant
kevin garnett,1.0,0.0,2004.0,2004.0kevin garnett
tim duncan,1.0,0.0,2004.0,2004.0tim duncan
steve francis,1.0,0.0,2004.0,2004.0steve francis
yao ming,1.0,0.0,2004.0,2004.0yao ming
ray allen,0.0,1.0,2004.0,2004.0ray allen
shaquille o'neal,0.0,1.0,2004.0,2004.0shaquille o'neal
sam cassell,0.0,1.0,2004.0,2004.0sam cassell
peja stojakovic,0.0,1.0,2004.0,2004.0peja stojakovic
dirk nowitzki,0.0,1.0,2004.0,2004.0dirk nowitzki
andrei kirilenko,0.0,1.0,2004.0,2004.0andrei kirilenko
brad miller,0.0,1.0,2004.0,2004.0brad miller
allen iverson,1.0,0.0,2005.0,2005.0allen iverson
lebron james,1.0,0.0,2005.0,2005.0lebron james
shaquille o'neal,1.0,0.0,2005.0,2005.0shaquille o'neal
vince carter,1.0,0.0,2005.0,2005.0vince carter
grant hill,1.0,0.0,2005.0,2005.0grant hill
dwyane wade,0.0,1.0,2005.0,2005.0dwyane wade
jermaine o'neal,0.0,1.0,2005.0,2005.0jermaine o'neal
zydrunas ilgauskas,0.0,1.0,2005.0,2005.0zydrunas ilgauskas
paul pierce,0.0,1.0,2005.0,2005.0paul pierce
gilbert arenas,0.0,1.0,2005.0,2005.0gilbert arenas
ben wallace,0.0,1.0,2005.0,2005.0ben wallace
antawn jamison,0.0,1.0,2005.0,2005.0antawn jamison
kobe bryant,1.0,0.0,2005.0,2005.0kobe bryant
tracy mcgrady,1.0,0.0,2005.0,2005.0tracy mcgrady
yao ming,1.0,0.0,2005.0,2005.0yao ming
tim duncan,1.0,0.0,2005.0,2005.0tim duncan
kevin garnett,1.0,0.0,2005.0,2005.0kevin garnett
ray allen,0.0,1.0,2005.0,2005.0ray allen
manu ginobili,0.0,1.0,2005.0,2005.0manu ginobili
dirk nowitzki,0.0,1.0,2005.0,2005.0dirk nowitzki
amar'e stoudemire,0.0,1.0,2005.0,2005.0amar'e stoudemire
steve nash,0.0,1.0,2005.0,2005.0steve nash
shawn marion,0.0,1.0,2005.0,2005.0shawn marion
rashard lewis,0.0,1.0,2005.0,2005.0rashard lewis
dwyane wade,1.0,0.0,2006.0,2006.0dwyane wade
lebron james,1.0,0.0,2006.0,2006.0lebron james
allen iverson,1.0,0.0,2006.0,2006.0allen iverson
shaquille o'neal,1.0,0.0,2006.0,2006.0shaquille o'neal
vince carter,1.0,0.0,2006.0,2006.0vince carter
ben wallace,0.0,1.0,2006.0,2006.0ben wallace
rasheed wallace,0.0,1.0,2006.0,2006.0rasheed wallace
chris bosh,0.0,1.0,2006.0,2006.0chris bosh
chauncey billups,0.0,1.0,2006.0,2006.0chauncey billups
paul pierce,0.0,1.0,2006.0,2006.0paul pierce
richard hamilton,0.0,1.0,2006.0,2006.0richard hamilton
gilbert arenas,0.0,1.0,2006.0,2006.0gilbert arenas
steve nash,1.0,0.0,2006.0,2006.0steve nash
tracy mcgrady,1.0,0.0,2006.0,2006.0tracy mcgrady
kobe bryant,1.0,0.0,2006.0,2006.0kobe bryant
tim duncan,1.0,0.0,2006.0,2006.0tim duncan
yao ming,1.0,0.0,2006.0,2006.0yao ming
tony parker,0.0,1.0,2006.0,2006.0tony parker
ray allen,0.0,1.0,2006.0,2006.0ray allen
shawn marion,0.0,1.0,2006.0,2006.0shawn marion
elton brand,0.0,1.0,2006.0,2006.0elton brand
kevin garnett,0.0,1.0,2006.0,2006.0kevin garnett
dirk nowitzki,0.0,1.0,2006.0,2006.0dirk nowitzki
pau gasol,0.0,1.0,2006.0,2006.0pau gasol
lebron james,1.0,0.0,2007.0,2007.0lebron james
dwyane wade,1.0,0.0,2007.0,2007.0dwyane wade
chris bosh,1.0,0.0,2007.0,2007.0chris bosh
gilbert arenas,1.0,0.0,2007.0,2007.0gilbert arenas
shaquille o'neal,1.0,0.0,2007.0,2007.0shaquille o'neal
jermaine o'neal,0.0,1.0,2007.0,2007.0jermaine o'neal
dwight howard,0.0,1.0,2007.0,2007.0dwight howard
joe johnson,0.0,1.0,2007.0,2007.0joe johnson
chauncey billups,0.0,1.0,2007.0,2007.0chauncey billups
vince carter,0.0,1.0,2007.0,2007.0vince carter
caron butler,0.0,1.0,2007.0,2007.0caron butler
richard hamilton,0.0,1.0,2007.0,2007.0richard hamilton
kobe bryant,1.0,0.0,2007.0,2007.0kobe bryant
tracy mcgrady,1.0,0.0,2007.0,2007.0tracy mcgrady
dirk nowitzki,1.0,0.0,2007.0,2007.0dirk nowitzki
tim duncan,1.0,0.0,2007.0,2007.0tim duncan
kevin garnett,1.0,0.0,2007.0,2007.0kevin garnett
carmelo anthony,0.0,1.0,2007.0,2007.0carmelo anthony
tony parker,0.0,1.0,2007.0,2007.0tony parker
shawn marion,0.0,1.0,2007.0,2007.0shawn marion
