year,player,listed_pos,age,tm_name,g,gs,mp,per,ts%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,year-player,award_tm,award_pos,starter,reserve,all_star
1989.0,dominique wilkins,SF,29.0,ATL,80.0,80.0,2997.0,21.8,0.528,0.06,0.298,9.2,11.0,10.0,11.9,1.9,1.0,8.4,29.4,7.5,2.9,10.4,0.166,3.6,-0.9,2.6,3.5,814.0,1756.0,0.464,29.0,105.0,0.276,785.0,1651.0,0.475,0.472,442.0,524.0,0.8440000000000001,256.0,297.0,553.0,211.0,117.0,52.0,181.0,138.0,2099.0,1989.0dominique wilkins,3,F,1.0,0.0,1.0
1989.0,james worthy,SF,27.0,LAL,81.0,81.0,2960.0,19.0,0.5820000000000001,0.018000000000000002,0.25,6.8,11.3,9.2,14.6,1.7,1.1,11.3,22.4,6.6,3.1,9.7,0.158,2.8,0.3,3.1,3.8,702.0,1282.0,0.5479999999999999,2.0,23.0,0.087,700.0,1259.0,0.556,0.5479999999999999,251.0,321.0,0.782,169.0,320.0,489.0,288.0,108.0,56.0,182.0,175.0,1657.0,1989.0james worthy,0,SF,0.0,1.0,1.0
1990.0,charles barkley,SF,26.0,PHI,79.0,79.0,3085.0,27.1,0.6609999999999999,0.078,0.632,13.4,20.0,16.7,15.6,2.4,1.0,13.9,24.0,13.1,4.2,17.3,0.269,8.0,1.7,9.8,9.2,706.0,1177.0,0.6,20.0,92.0,0.217,686.0,1085.0,0.632,0.608,557.0,744.0,0.7490000000000001,361.0,548.0,909.0,307.0,148.0,50.0,243.0,250.0,1989.0,1990.0charles barkley,1,F,1.0,0.0,1.0
1990.0,larry bird,SF,33.0,BOS,75.0,75.0,2944.0,21.9,0.546,0.129,0.226,3.6,22.2,13.4,28.9,1.8,1.2,12.7,27.4,5.3,4.1,9.5,0.154,3.9,2.2,6.1,6.1,718.0,1517.0,0.473,65.0,195.0,0.333,653.0,1322.0,0.494,0.495,319.0,343.0,0.93,90.0,622.0,712.0,562.0,106.0,61.0,243.0,173.0,1820.0,1990.0larry bird,2,F,1.0,0.0,1.0
1990.0,rolando blackman,SG,30.0,DAL,80.0,80.0,2934.0,17.0,0.552,0.034,0.271,3.5,7.3,5.4,16.3,1.3,0.4,11.0,23.6,4.6,2.2,6.8,0.111,1.5,-1.0,0.5,1.9,626.0,1256.0,0.498,13.0,43.0,0.302,613.0,1213.0,0.505,0.504,287.0,340.0,0.8440000000000001,88.0,192.0,280.0,289.0,77.0,21.0,174.0,128.0,1552.0,1990.0rolando blackman,0,SG,0.0,1.0,1.0
1990.0,tom chambers,PF,30.0,PHO,81.0,81.0,3046.0,20.9,0.579,0.053,0.4,4.7,15.2,10.3,10.0,1.4,0.9,10.3,28.8,7.5,3.7,11.2,0.17600000000000002,2.4,-0.6,1.8,2.9,810.0,1617.0,0.501,24.0,86.0,0.279,786.0,1531.0,0.513,0.508,557.0,647.0,0.861,121.0,450.0,571.0,190.0,88.0,47.0,218.0,260.0,2201.0,1990.0tom chambers,2,F,0.0,1.0,1.0
1990.0,clyde drexler,SG,27.0,POR,73.0,73.0,2683.0,22.2,0.551,0.078,0.317,8.3,12.3,10.3,24.8,2.5,1.2,11.0,25.5,7.3,4.3,11.6,0.208,5.4,2.4,7.9,6.6,670.0,1357.0,0.494,30.0,106.0,0.28300000000000003,640.0,1251.0,0.512,0.505,333.0,430.0,0.774,208.0,299.0,507.0,432.0,145.0,51.0,191.0,222.0,1703.0,1990.0clyde drexler,3,G,0.0,1.0,1.0
1990.0,joe dumars,SG,26.0,DET,75.0,71.0,2578.0,17.2,0.555,0.052000000000000005,0.312,2.7,6.7,4.7,22.2,1.2,0.0,10.8,22.5,5.8,3.0,8.7,0.162,2.1,-0.5,1.5,2.3,508.0,1058.0,0.48,22.0,55.0,0.4,486.0,1003.0,0.485,0.491,297.0,330.0,0.9,60.0,152.0,212.0,368.0,63.0,2.0,145.0,129.0,1335.0,1990.0joe dumars,3,G,0.0,1.0,1.0
1990.0,patrick ewing,C,27.0,NYK,82.0,82.0,3165.0,25.8,0.599,0.002,0.387,8.5,22.4,15.7,10.0,1.2,5.9,12.4,29.4,8.3,5.3,13.5,0.205,2.6,1.9,4.6,5.2,922.0,1673.0,0.551,1.0,4.0,0.25,921.0,1669.0,0.552,0.551,502.0,648.0,0.775,235.0,658.0,893.0,182.0,78.0,327.0,278.0,325.0,2347.0,1990.0patrick ewing,1,C,1.0,0.0,1.0
1990.0,a.c. green,PF,26.0,LAL,82.0,82.0,2709.0,14.7,0.5479999999999999,0.057,0.459,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,0.13699999999999998,0.3,0.0,0.4,1.6,385.0,806.0,0.478,13.0,46.0,0.28300000000000003,372.0,760.0,0.489,0.486,278.0,370.0,0.7509999999999999,262.0,450.0,712.0,90.0,66.0,50.0,116.0,207.0,1061.0,1990.0a.c. green,0,PF,1.0,0.0,1.0
